ontology ID	label	action	logical type	parent class
ID			CLASS_TYPE	C %
BFO:0000001	entity	ignore		
BFO:0000002	continuant	ignore		
BFO:0000004	located in	ignore		
BFO:0000016	disposition	ignore		
BFO:0000040	bounding layer of	ignore		
CARO:0000000	anatomical entity	ignore		
CL:0000066	022HU-NSO cell	import		
CL:0000236	B cell	import		
CL:0001034	cell in vitro	ignore		
CLO:0000001	cell line cell	import		
CLO:0000015	derives from patient having disease	relate		
CLO:0000169	hybridoma cell line cell	import		
CLO:0000652	immortal human B cell line cell	import		
CLO:0001008	697 cell	ignore		
CLO:0001056	1205Lu cell	import		
CLO:0001137	184A1 cell	import		
CLO:0001176	2.2.15 cell	import		
CLO:0001199	22RV1 cell	import		
CLO:0001230	HEK293	import		
CLO:0001400	4MBr-5 cell	import		
CLO:0001401	4T1 cell	import		
CLO:0001421	5637 cell	import		
CLO:0001560	A172 cell	import		
CLO:0001566	A2058 cell	import		
CLO:0001582	A-375 cell	import		
CLO:0001592	A-431 cell	import		
CLO:0001601	A549 cell	import		
CLO:0001606	A-673 cell	import		
CLO:0001686	AGS cell	import		
CLO:0001756	AsPC-1 cell	import		
CLO:0001769	AU565 cell	import		
CLO:0001793	B16-F1 cell	import		
CLO:0001794	B16-F10 cell	import		
CLO:0001842	BA/F3 cell	import		
CLO:0001925	BEAS-2B cell	import		
CLO:0001987	BL-41 cell	import		
CLO:0002041	BT-20 cell	import		
CLO:0002042	BT-474 cell	import		
CLO:0002043	BT-483 cell	import		
CLO:0002044	BT-549 cell	import		
CLO:0002052	BV-173 cell	import		
CLO:0002065	BxPC-3 cell	import		
CLO:0002115	C-33 A cell	import		
CLO:0002165	Ca Ski cell	import		
CLO:0002168	CA46 cell	import		
CLO:0002172	Caco-2 cell	import		
CLO:0002175	CAKI-1 cell	import		
CLO:0002179	CAL-120 cell	import		
CLO:0002191	Calu-1 cell	import		
CLO:0002192	Calu-3 cell	import		
CLO:0002195	Caov-3 cell	import		
CLO:0002197	Capan-1 cell	import		
CLO:0002198	Capan-2 cell	import		
CLO:0002395	CFPAC-1 cell	import		
CLO:0002531	CMT64/61 cell	import		
CLO:0002544	COLO 205 cell	import		
CLO:0002571	COLO-320 cell	import		
CLO:0002597	COS-7 cell	import		
CLO:0002631	CT26.WT cell	import		
CLO:0002708	Daudi cell	ignore		
CLO:0002709	DB cell	ignore		
CLO:0002723	DBTRG-05MG cell	import		
CLO:0002767	DG-75 cell	ignore		
CLO:0002785	DLD-1 cell	import		
CLO:0002797	DMS 273 cell	import		
CLO:0002798	DMS 454 cell	import		
CLO:0002799	DMS 53 cell	import		
CLO:0002805	DOHH2 cell	ignore		
CLO:0002840	DU 145 cell	import		
CLO:0002889	EFM-192A cell	import		
CLO:0002913	EL4 cell	import		
CLO:0003433	G-361 cell	import		
CLO:0003434	G-401 cell	import		
CLO:0003630	HCC1143 cell	import		
CLO:0003632	HCC1187 cell	import		
CLO:0003634	HCC1395 cell	import		
CLO:0003636	HCC1419 cell	import		
CLO:0003637	HCC1428 cell	import		
CLO:0003639	HCC1500 cell	import		
CLO:0003640	HCC1569 cell	import		
