ontology ID	label	action	logical type	parent class
ID			CLASS_TYPE	C %
BFO:0000001	entity	ignore		
BFO:0000002	continuant	ignore		
BFO:0000004	independent continuant	ignore		
BFO:0000016	disposition	ignore		
BFO:0000040	material entity	ignore		
BFO:0000050	part of	relate		
BFO:0000051	has part	relate		
CARO:0000000	anatomical entity	ignore		
CARO:0000006	material anatomical entity	ignore		
CL:0000000	cell	import		
CL:0000003	obsolete native cell	import		
CL:0000017	spermatocyte	import		
CL:0000023	oocyte	import		
CL:0000031	neuroblast (sensu Vertebrata)	import		
CL:0000034	stem cell	import		
CL:0000055	non-terminally differentiated cell	ignore		
CL:0000057	fibroblast	import		
CL:0000062	osteoblast	import		
CL:0000066	epithelial cell	import		
CL:0000081	blood cell	import		
CL:0000084	T cell	import		
CL:0000094	granulocyte	import		
CL:0000097	mast cell	import		
CL:0000113	mononuclear phagocyte	import		
CL:0000115	endothelial cell	import		
CL:0000125	glial cell	import		
CL:0000127	astrocyte	import		
CL:0000145	professional antigen presenting cell	import		
CL:0000147	pigment cell	import		
CL:0000148	melanocyte	import		
CL:0000151	secretory cell	import		
CL:0000163	endocrine cell	ignore		
CL:0000164	enteroendocrine cell	ignore		
CL:0000169	type B pancreatic cell	import		
CL:0000182	hepatocyte	import		
CL:0000187	muscle cell	import		
CL:0000211	electrically active cell	ignore		
CL:0000219	motile cell	ignore		
CL:0000221	ectodermal cell	import		
CL:0000226	single nucleate cell	ignore		
CL:0000232	erythrocyte	import		
CL:0000233	platelet	ignore		
CL:0000235	macrophage	import		
CL:0000236	B cell	import		
CL:0000255	eukaryotic cell	ignore		
CL:0000325	stuff accumulating cell	ignore		
CL:0000393	electrically responsive cell	ignore		
CL:0000451	dendritic cell	import		
CL:0000457	biogenic amine secreting cell	ignore		
CL:0000540	neuron	import		
CL:0000542	lymphocyte	import		
CL:0000548	animal cell	ignore		
CL:0000576	monocyte	import		
CL:0000586	germ cell	import		
CL:0000623	natural killer cell	import		
CL:0000624	CD4-positive, alpha-beta T cell	import		
CL:0000625	CD8-positive, alpha-beta T cell	import		
CL:0000738	leukocyte	import		
CL:0000763	myeloid cell	import		
CL:0000766	myeloid leukocyte	import		
CL:0000767	basophil	import		
CL:0000775	neutrophil	import		
CL:0000786	plasma cell	import		
CL:0000791	mature alpha-beta T cell	import		
CL:0000798	gamma-delta T cell	import		
CL:0000814	mature NK T cell	import		
CL:0000835	myeloblast	import		
CL:0000842	mononuclear cell	import		
CL:0000893	thymocyte	import		
CL:0000945	lymphocyte of B lineage	ignore		
CL:0000988	hematopoietic cell	import		
CL:0001034	cell in vitro	ignore		
CL:0001067	group 1 innate lymphoid cell	ignore		
CL:0002191	granulocytopoietic cell	ignore		
CL:0002242	nucleate cell	ignore		
CL:0002319	neural cell	import		
CL:0002320	connective tissue cell	import		
CL:0002321	embryonic cell (metazoa)	ignore		
CL:0011012	neural crest cell	import		
CL:0011026	progenitor cell	import		
CL:0011115	precursor cell	ignore		
CL:2000001	peripheral blood mononuclear cell	import		
CL:2000074	splenocyte	import		
CLO:0000001	cell line cell	import		
CLO:0000012	immortal human T cell line cell	import		
